artist,album,freq_xxl
DRAM,Big Baby DRAM,17
Jared Evan,The Blanket Truth,0
Thomas Cohen,Bloom Forever,0
Blossoms,Blossoms,8
Kero Kero Bonito,Bonito Generation,0
Chad,The Book of Chad,61
Caper Clowns,The Buca Bus,0
Halo Circus,Bunny,2
Product of Hate,Buried in Violence,56
Swet Shop Boys,Cashmere,17
Zach Williams,Chain Breaker,2
Bradley Walsh,Chasing Dreams,0
Kygo,Cloud Nine,6
Coasts,Coasts,29
Barrie-James O'Neill,Cold Coffee,0
The Anchoress,Confessions of a Romance Novelist,0
Jamie Isaac,Couch Baby,0
Armageddon,Crossing the Rubicon (Revisited),0
From Ashes to New,Day One,9258
John Tibbs,Dead Man Walking,1
Cait Brennan,Debutante,0
Client Liaison,Diplomatic Immunity,0
DNCE,DNCE,9
The Lemon Twigs,Do Hollywood,0
The Mute Gods,Do Nothing till You Hear from Me,3
Kyle Craft,Dolls of Highland,0
Wet,Don't You,3526
Kiefer Sutherland,Down in a Hole,51
Amy Lee,Dream Too Much,4
Charles Kelley,The Driver,1
Dylan Scott,Dylan Scott,4
DJ Snake,Encore,40
Tom Ricci,Tom Ricci: Escape Into Life,0
Curt Anderson,Every Moment,14
Salvador Sobral,Excuse Me,0
Francis and the Lights,Farewell Starlite!,25
Jessica Sutta,Feline Resurrection,0
Moor Mother,Fetish Bones,0
Failure Anthem,First World Problems,4
Westside Gunn,Flygod,80
Grace,FMA,196
Nao,For All We Know,2262
6lack,Free 6lack,99
Madeline Merlo,Free Soul,0
Zhu,Generationwhy,7
Rebstar,Girls Like Nicole,2
Consumed by Fire,Giving Over,46
Whores,Gold.,1356
Meghan Patrick,Grace & Grit,0
Mick Jenkins,The Healing Component,18
Maren Morris,Hero,10
Bolzer,Hero,207
Thom Sonny Green,High Anxiety,0
DMA's,Hills End,40
Anohni,Hopelessness,5
Mako,Hourglass,6
Okilly Dokilly,Howdilly Doodilly,0
Jon Bellion,The Human Condition,1
Nick Fradiani,Hurricane,1
Rival Choir,I Believe Help My Unbelief,3
Tory Lanez,I Told You,185
Against The Current,In Our Bones,545
Entheos,The Infinite Nothing,5
Safia,Internal,81
Lance Skiiiwalker,Introverted Intuition,9
Kevin Gates,Islah,438
Alex Cameron,Jumping the Shark,0
Kane Brown,Kane Brown,9
Young Dolph,King of Memphis,138
Knocked Loose,Laugh Tracks,1
Kungs,Layers,75
Hinds,Leave Me Alone,60
Dame D.O.L.L.A.,The Letter O,5
Tyson Motsenbocker,Letters to Lost Loves,2
Lewis Del Mar,Lewis Del Mar,5
Lacey Sturm,Life Screams,0
I Prevail,Lifelines,15
Xu Weizhou,Light,0
Whitney,Light Upon the Lake,0
All Tvvins,llVV,0
Lapsley,Long Way Home,212
Majid Jordan,Majid Jordan,36
Dareysteel,Man of the Year,1809
MHD,MHD,3
Margo Price,Midwest Farmer's Daughter,0
Zayn,Mind of Mine,85
Shila Amzah,My Journey,0
Mykki Blanco,Mykki,1
Seth & Nirva,Never Alone,64
Stitched Up Heart,Never Alone,21
Public Access T.V.,Never Enough,2
Young Check'a,Never Seen,181
Nevermen,Nevermen,0
Kel Valhaal,New Introductory Lectures on the System of Transcendental Qabala,0
CRX,New Skin,137
JONES,New Skin,549
Head Wound City,A New Wave of Violence,55
Charlie Puth,Nine Track Mind,0
Mi-Sex,Not from Here,70
Shura,Nothing's Real,2
Gallant,Ology,7
Vorvan,Once Love Was Lost,64
Elliott Power,Once Smitten,5
Eric Prydz,Opus,0
Conrad Keely,Original Machines,0
Hacktivist,Outside the Box,70
Brian Fallon,Painkillers,3
A-Reece,Paradise,244
Delta Heavy,Paradise Lost,2
Redfoo,Party Rock Mansion,7
Brothers Osborne,Pawn Shop,1
Jack Garratt,Phase,2
CNCO,Primera Cita,2
Japanese Breakfast,Psychopomp,0
CDQ,Quality,691
Player Piano,Radio Love,31
Sayaka Yamamoto,Rainbow,0
Kilo Kish,Reflections in Real Time,10
Dorothy,Rockisdead,7
Nina Kraljic,Samo,0
dvsn,SEPT. 5TH,9
Andy Black,The Shadow Side,14
Stephen,Sincerely,270
Daya,Sit Still Look Pretty,41
Deakin,Sleep Cycle,4
Keegan Joyce,Snow on Higher Ground,1
The Zenith Passage,Solipsist,0
Francisco el Hombre,Soltasbruxa,0
Jordan Smith,Something Beautiful,12
Drake White,Spark,199
Lee Jong-hyun,Sparkling Night,0
Sianvar,Stay Lost,108
Post Malone,Stoney,353
Dedekind Cut,$uccessor,0
Nicky Byrne,Sunlight,0
Isaiah Rashad,The Sun's Tirade,17
Kembe X,Talk Back,61
Matt Corby,Telluric,0
Cana's Voice,This Changes Everything,17
TINI,TINI (Martina Stoessel),0
Tkay Maidza,Tkay,0
Cane Hill,Smile,4
Nathan Sykes,Unfinished Business,0
Cimorelli,Up at Night,2179
Virginia to Vegas,Utopian,16
Anna Meredith,Varmints,1
Peter Garrett,A Version of Now,815
William Michael Morgan,Vinyl,0
Viola Beach,Viola Beach,1
Roy Woods,Waking at Dawn,6
Honne,Warm on a Cold Night,156
Tom Chaplin,The Wave,3
We Are Messengers,We Are Messengers,5272
Pearl City Worship,We Won't Be Silent,2
Steven Tyler,We're All Somebody from Somewhere,7
Urban Rescue,Wild Heart,0
Steve Angello,Wild Youth,0
Rachel Platten,Wildfire,3
Lil' Kleine,WOP!,60
Letters from the Fire,Worth the Pain,102
Raleigh Ritchie,You're a Man Now Boy,52
Alfie Arcuri,Zenith,0
Zoax,Zoax,0
Cashmere Cat,9,35
ASAP Twelvyy,12,63
XXXTentacion,17,2341
South Club,90,168
Princess Nokia,1992 Deluxe,8
Khalid,American Teen,31
Moses Sumney,Aromanticism,1
Liam Gallagher,As You Were,5
Vic Mensa,The Autobiography,457
Alexandra Savior,Belladonna of Sadness,0
A Boogie wit da Hoodie,The Bigger Artist,299
Smino,blkswn,52
Beau Dermott,Brave,0
Brett Young,Brett Young,0
PnB Rock,Catch These Vibes,14
Cindy Wilson,Change,12
Jidenna,The Chief,843
Cigarettes After Sex,Cigarettes After Sex,317
Amber Coffman,City of No Reply,13
Allie X,CollXtion II,0
Lil Peep,Come Over When You're Sober Pt. 1,11
J Hus,Common Sense,20
Judah Kelly,Count On Me,1
Lute,West1996 pt. 2,4
Crystal Fairy,Crystal Fairy,0
SZA,Ctrl,192
Cody Carnes,The Darker the Night / The Brighter the Morning,0
Smokepurpp,Deadstar,135
Jason Manford,A Different Stage,3
Austin Mahone,Dirty Work,3
GJan,Do It,5468
Rob $tone,Don't Wait For It,404
Dreamcar,Dreamcar,2
Dua Lipa,Dua Lipa,18
Vant,Dumb Blood,6
Tired Lion,Dumb Days,0
Creeper,Eternity in Your Arms,0
Carly Pearce,Every Little Thing,1
Stills & Collins,Everybody Knows,12
Can't Swim,Fail You Again,5
Beth Ditto,Fake Sugar,0
The Regrettes,Feel Your Feelings Fool!,98
Syd,Fin,46
Niall Horan,Flicker,7
Superfruit,Future Friends,276
Stormzy,Gang Signs & Prayer,56
Sevyn Streeter,Girl Disrupted,1
Gizmodrome,Gizmodrome,0
Amine,Good for You,3173
TC&I,Great Aspirations,68
Charly Bliss,Guppy,0
Cosmic Girls,Happy Moment,17
Harry Styles,Harry Styles,20
KARD,Hola Hola,8
Peter Perrett,How the West Was Won,42
Rag'n'Bone Man,Human,116
G Herbo,Humble Beast,51
Dhani Harrison,In Parallel,0
VUUR,In This Moment We Are Free - Cities,73
Wincent Weiss,Irgendwas gegen die Stille,0
21 Savage,Issa Album,332
IDK,IWasVeryBad,103
Gabriel Garzon-Montano,Jardin,1
Jona Viray,Jona,0
Grace VanderWaal,Just the Beginning,7
King Satan,King Fucking Satan,2
Hippo Campus,Landmark,0
A Very Loud Death,Lanterns,6
LANY,LANY,0
Kacy Hill,Like a Woman,14
Lil Pump,Lil Pump,222
Sofia Reyes,Louder!,1
Bobby,Love and Fall,501
The Big Moon,Love in the 4th Dimension,46
Meg Mac,Low Blows,1
Rezz,Mass Manipulation,0
Nothing But You,Meant to Be,8054
the Chainsmokers,Memories...Do Not Open,315
Sayuri,Mikazuki no Koukai,0
Ded,Mis*an*thrope,0
Mura Masa,Mura Masa,9
Joe Scarborough,Mystified,2
Mito Natsume,Natsumelo,0
Sheer Mag,Need To Feel Your Love,190
Iglooghost,Neo Wax Bloom,0
J.I.D,The Never Story,709
Madeline Kenney,Night Night at the First Landing,16
Cyhi the Prynce,No Dope on Sundays,42
Midland,On the Rocks,228
Peter Toussaint,One Day,35
Nines,One Foot Out,162
Tokio Myers,Our Generation,0
Kodak Black,Painting Pictures,64
Playboi Carti,Playboi Carti,439
Poppy,Poppy.Computer,20
Powerflo,Powerflo,0
Sampha,Process,949
Lindsay Ell,The Project,1
Prophets of Rage,Prophets of Rage,348
Sons of Apollo,Psychotic Symphony,0
Quality Control,Quality Control: Control the Streets Volume 1,91
JP Cooper,Raised Under Grey Skies,0
Mike Will Made It,Ransom 2,1149
Residente,Residente,7
Vancouver Sleep Clinic,Revival,0
Wild Fire,Revolt,55
Exit Eden,Rhapsodies in Black,0
Ocean Grove,The Rhapsody Tapes,0
Shekhinah,Rose Gold,59
Ruth B,Safe Haven,1
Sofia Ellar,Seis peniques,0
Sheridan Smith,Sheridan,0
Aquilo,Silhouettes,444
Rex Brown,Smoke on This...,35
Caitlyn Shadbolt,Songs on My Sleeve,11
Joanna Forest,Stars Are Rising,0
Kehlani,SweetSexySavage,205
Jaden Smith,Syre,87
Danger,Tai Gu ,0
Kelela,Take Me Apart,80
Lil Yachty,Teenage Emotions,78
Blaenavon,That's Your Lot,351
A. Savage,Thawing Dawn,1
Frances,Things I've Never Said,85
Luke Combs,This One's for You,160
Allison Crutchfield,Tourist In This Town,2
Matt Terry,Trouble,9
Slotface,Try Not to Freak Out,631
Levina,Unexpected,211
Karol G,Unstoppable,4
Pabllo Vittar,Vai Passar Mal,0
Una Healy,The Waiting Game,0
5kMiles,Walking in Circles,1
Josh Todd & The Conflict,Year of the Tiger,132
Shane Eagle,Yellow,2
Dams of the West,Youngish American,141
Russell Dickerson,Yours,3
Rich Brian,Amen,31
Jonathan Davis,Black Labyrinth,7
Camila Cabello,Camila,52
Devin Dawson,Dark Horse,0
Famous Dex,Dex Meets Dexter,20
Dita Von Teese,Dita Von Teese,0
Dream Wife,Dream Wife,34
Bebe Rexha,Expectations,20
Hayley Kiyoko,Expectations,0
Ashley McBryde,Girl Going Nowhere,0
Lanco,Hallelujah Nights,0
Phew and Alrahim Wright III,Here's a Phew,0
Saweetie,High Maintenance,7
Jordan Davis,Home State,14
Cardi B,Invasion of Privacy,52
UP10TION,Invitation,56
Kali Uchis,Isolation,28
Chloe x Halle,The Kids Are Alright,11
L.A.R.S.,Last American Rock Stars,13
Lil Skies,Life of a Dark Rose,92
Lo Moon,Lo Moon,9
Jorja Smith,Lost & Found,52
Amy Shark,Love Monster,1
Terror Universal,Make Them Bleed,0
NCT,NCT 2018 Empathy,0
Calum Scott,Only Human,9
Kasbo,Places We Don't Know,36
Poo Bear,Poo Bear Presents Bearthday Music,6
Mike Shinoda,Post Traumatic,0
Maxo Kream,Punken,91
Rich Homie Quan,Rich as in Spirit,559
Shame,Songs of Praise,103
Anne-Marie,Speak Your Mind,0
Angie,Suicidal Since 1995,0
Superorganism,Superorganism,0
The Academic,Tales from the Backseat,213
MitiS,'Til the End,51
Lil Xan,Total Xanarchy,25
YoungBoy Never Broke Again,Until Death Call My Name,36
EDEN,vertigo,10
Nipsey Hussle,Victory Lap,57
Rich the Kid,The World Is Yours,1079
Myles Kennedy,Year of the Tiger,95
Fickle Friends,You Are Someone Else,340
